iter	Passed	Remaining
0	217	217421
1	220	110043
2	222	74076
3	225	56124
4	228	45393
5	230	38197
6	233	33112
7	236	29288
8	238	26298
9	241	23901
10	243	21916
11	246	20295
12	249	18906
13	251	17714
14	254	16696
15	256	15805
16	259	15017
17	262	14314
18	265	13686
19	267	13113
20	270	12625
21	273	12167
22	276	11753
23	279	11355
24	282	11013
25	285	10683
26	287	10376
27	291	10102
28	293	9842
29	296	9595
30	300	9397
31	303	9180
32	306	8977
33	308	8776
34	311	8600
35	317	8508
36	320	8348
37	323	8188
38	326	8035
39	329	7915
40	332	7774
41	335	7643
42	337	7517
43	340	7397
44	343	7288
45	346	7178
46	348	7072
47	351	6967
48	353	6865
49	356	6770
50	359	6694
51	362	6607
52	365	6526
53	367	6445
54	370	6374
55	373	6301
56	376	6230
57	379	6164
58	382	6107
59	386	6057
60	389	5989
61	391	5925
62	394	5866
63	396	5805
64	399	5747
65	402	5695
66	404	5639
67	407	5584
68	410	5532
69	412	5481
70	415	5439
71	418	5392
72	421	5349
73	423	5304
74	426	5258
75	428	5212
76	431	5170
77	434	5130
78	436	5089
79	439	5050
80	441	5010
81	443	4969
82	445	4918
83	448	4886
84	450	4850
85	453	4815
86	455	4778
87	457	4744
88	460	4712
89	463	4682
90	465	4653
91	468	4623
92	470	4591
93	473	4560
94	475	4531
95	478	4504
96	480	4475
97	483	4446
98	485	4417
99	487	4390
100	490	4363
101	493	4341
102	495	4315
103	498	4291
104	500	4267
105	503	4242
106	505	4218
107	508	4200
108	511	4178
109	514	4159
110	516	4137
111	519	4115
112	521	4093
113	524	4074
114	526	4054
115	529	4034
116	531	4011
117	533	3991
118	536	3971
119	539	3954
120	541	3934
121	543	3912
122	546	3894
123	548	3875
124	551	3857
125	554	3844
126	556	3824
127	559	3809
128	561	3793
129	564	3777
130	567	3765
131	570	3749
132	572	3734
133	575	3720
134	578	3705
135	580	3690
136	584	3680
137	586	3665
138	589	3652
139	592	3638
140	595	3624
141	596	3606
142	600	3597
143	603	3585
144	605	3571
145	608	3559
146	611	3547
147	614	3535
148	616	3521
149	619	3511
150	622	3498
151	625	3487
152	628	3478
153	630	3465
154	633	3454
155	636	3443
156	639	3435
157	642	3425
158	645	3414
159	648	3402
160	649	3385
161	652	3373
162	654	3361
163	657	3353
164	660	3343
165	663	3332
166	665	3321
167	668	3312
168	671	3301
169	674	3293
170	677	3282
171	679	3272
172	682	3260
173	684	3249
174	687	3240
175	690	3232
176	693	3223
177	695	3213
178	698	3202
179	700	3192
180	704	3187
181	707	3177
182	709	3168
183	712	3157
184	714	3147
185	716	3136
186	719	3130
187	722	3122
188	725	3113
189	728	3105
190	730	3095
191	733	3088
192	736	3080
193	739	3071
194	741	3062
195	744	3053
196	746	3044
197	749	3037
198	752	3030
199	755	3023
200	758	3015
201	761	3007
202	765	3004
203	767	2996
204	770	2987
205	772	2979
206	775	2970
207	777	2962
208	781	2956
209	783	2948
210	786	2940
211	788	2932
212	792	2926
213	795	2921
214	798	2915
215	801	2907
216	803	2899
217	806	2891
218	808	2884
219	811	2878
220	815	2874
221	818	2867
222	820	2859
223	824	2854
224	826	2848
225	829	2842
226	832	2834
227	834	2826
228	837	2819
229	840	2815
230	843	2808
231	846	2801
232	849	2795
233	851	2788
234	856	2786
235	860	2784
236	863	2780
237	866	2773
238	871	2773
239	873	2766
240	876	2761
241	879	2755
242	882	2748
243	885	2743
244	888	2736
245	891	2731
246	893	2723
247	895	2716
248	898	2708
249	901	2703
250	903	2696
251	906	2690
252	908	2683
253	911	2676
254	913	2669
255	916	2664
256	919	2658
257	922	2652
258	925	2646
259	927	2640
260	931	2637
261	934	2631
262	936	2625
263	939	2618
264	941	2612
265	944	2607
266	947	2600
267	949	2594
268	952	2588
269	954	2581
270	957	2575
271	960	2571
272	963	2565
273	966	2559
274	968	2553
275	971	2548
276	974	2544
277	977	2538
278	979	2532
279	982	2526
280	984	2520
281	987	2514
282	991	2511
283	993	2505
284	996	2500
285	999	2494
286	1002	2489
287	1005	2486
288	1008	2480
289	1011	2475
290	1013	2470
291	1016	2464
292	1018	2458
293	1021	2452
294	1023	2446
295	1026	2441
296	1028	2434
297	1031	2429
298	1038	2433
299	1041	2430
300	1044	2425
301	1046	2419
302	1049	2413
303	1052	2409
304	1054	2403
305	1057	2398
306	1059	2392
307	1062	2386
308	1064	2380
309	1067	2376
310	1070	2370
311	1072	2365
312	1075	2360
313	1077	2354
314	1080	2349
315	1083	2344
316	1085	2339
317	1088	2333
318	1090	2328
319	1092	2322
320	1095	2316
321	1098	2312
322	1100	2306
323	1103	2301
324	1105	2296
325	1107	2290
326	1110	2286
327	1113	2282
328	1116	2277
329	1119	2272
330	1121	2267
331	1124	2261
332	1126	2256
333	1129	2251
334	1132	2247
335	1135	2243
336	1137	2238
337	1140	2233
338	1143	2230
339	1146	2225
340	1149	2220
341	1151	2215
342	1153	2210
343	1156	2205
344	1159	2201
345	1161	2196
346	1164	2191
347	1166	2185
348	1168	2180
349	1171	2175
350	1173	2170
351	1176	2165
352	1179	2161
353	1181	2155
354	1183	2151
355	1186	2146
356	1189	2142
357	1191	2137
358	1194	2132
359	1196	2127
360	1199	2122
361	1202	2118
362	1204	2114
363	1207	2109
364	1209	2105
365	1212	2100
366	1215	2095
367	1218	2091
368	1220	2087
369	1222	2082
370	1225	2077
371	1227	2072
372	1230	2068
373	1233	2064
374	1236	2060
375	1238	2055
376	1240	2050
377	1243	2045
378	1245	2041
379	1248	2036
380	1250	2032
381	1253	2027
382	1255	2022
383	1258	2018
384	1260	2013
385	1263	2009
386	1265	2005
387	1268	2000
388	1270	1995
389	1273	1991
390	1276	1987
391	1279	1983
392	1281	1979
393	1284	1975
394	1286	1970
395	1289	1966
396	1291	1962
397	1295	1958
398	1297	1954
399	1300	1950
400	1303	1946
401	1305	1942
402	1309	1939
403	1311	1935
404	1314	1931
405	1317	1926
406	1319	1922
407	1321	1917
408	1324	1914
409	1327	1909
410	1329	1905
411	1332	1901
412	1335	1897
413	1337	1893
414	1340	1889
415	1343	1885
416	1345	1881
417	1348	1877
418	1350	1873
419	1353	1869
420	1356	1866
421	1359	1861
422	1361	1857
423	1364	1853
424	1366	1849
425	1369	1845
426	1371	1840
427	1374	1837
428	1377	1833
429	1380	1829
430	1382	1825
431	1385	1821
432	1387	1817
433	1390	1813
434	1392	1809
435	1395	1805
436	1398	1801
437	1400	1797
438	1403	1793
439	1406	1789
440	1408	1785
441	1410	1781
442	1413	1776
443	1415	1773
444	1418	1769
445	1421	1765
446	1423	1761
447	1425	1757
448	1428	1752
449	1431	1749
450	1434	1745
451	1436	1742
452	1439	1737
453	1441	1733
454	1444	1729
455	1447	1726
456	1449	1722
457	1451	1717
458	1454	1713
459	1456	1709
460	1458	1705
461	1461	1702
462	1464	1698
463	1467	1694
464	1469	1690
465	1471	1686
466	1474	1682
467	1477	1679
468	1479	1675
469	1482	1671
470	1484	1667
471	1486	1663
472	1489	1659
473	1492	1656
474	1494	1652
475	1497	1648
476	1499	1644
477	1501	1639
478	1504	1635
479	1506	1632
480	1509	1628
481	1511	1624
482	1514	1620
483	1516	1616
484	1519	1613
485	1523	1611
486	1525	1607
487	1528	1604
488	1531	1600
489	1534	1597
490	1537	1594
491	1540	1590
492	1543	1587
493	1546	1583
494	1548	1580
495	1551	1576
496	1554	1573
497	1556	1569
498	1559	1565
499	1562	1562
500	1564	1558
501	1568	1555
502	1570	1551
503	1573	1548
504	1575	1544
505	1578	1540
506	1580	1536
507	1583	1533
508	1586	1530
509	1589	1526
510	1591	1522
511	1594	1519
512	1597	1516
513	1599	1512
514	1602	1509
515	1605	1505
516	1607	1501
517	1610	1498
518	1613	1495
519	1616	1491
520	1618	1488
521	1621	1484
522	1623	1480
523	1626	1477
524	1629	1474
525	1631	1470
526	1634	1466
527	1636	1463
528	1639	1459
529	1641	1456
530	1644	1452
531	1647	1449
532	1649	1445
533	1652	1441
534	1654	1438
535	1657	1435
536	1660	1431
537	1663	1428
538	1665	1424
539	1667	1420
540	1670	1417
541	1673	1413
542	1675	1410
543	1678	1406
544	1680	1403
545	1683	1399
546	1685	1395
547	1688	1392
548	1691	1389
549	1694	1386
550	1696	1382
551	1699	1379
552	1702	1375
553	1704	1372
554	1707	1369
555	1710	1365
556	1712	1362
557	1715	1358
558	1717	1354
559	1720	1352
560	1723	1348
561	1726	1345
562	1728	1341
563	1731	1338
564	1733	1334
565	1737	1332
566	1739	1328
567	1742	1325
568	1745	1321
569	1747	1318
570	1750	1315
571	1753	1311
572	1756	1308
573	1758	1305
574	1760	1301
575	1763	1298
576	1766	1295
577	1769	1291
578	1771	1288
579	1774	1284
580	1776	1281
581	1779	1278
582	1782	1275
583	1784	1271
584	1787	1268
585	1789	1264
586	1792	1261
587	1794	1257
588	1798	1254
589	1800	1251
590	1803	1247
591	1805	1244
592	1808	1241
593	1812	1238
594	1814	1235
595	1817	1232
596	1820	1228
597	1823	1225
598	1825	1222
599	1828	1218
600	1830	1215
601	1833	1212
602	1835	1208
603	1838	1205
604	1841	1202
605	1843	1198
606	1846	1195
607	1850	1193
608	1853	1189
609	1857	1187
610	1861	1184
611	1864	1181
612	1866	1178
613	1869	1175
614	1872	1171
615	1874	1168
616	1877	1165
617	1879	1161
618	1882	1158
619	1884	1155
620	1887	1152
621	1890	1148
622	1893	1145
623	1896	1142
624	1898	1139
625	1901	1135
626	1904	1132
627	1907	1129
628	1909	1126
629	1912	1123
630	1914	1119
631	1917	1116
632	1919	1113
633	1922	1109
634	1924	1106
635	1927	1103
636	1929	1099
637	1932	1096
638	1935	1093
639	1938	1090
640	1940	1086
641	1942	1083
642	1945	1080
643	1948	1076
644	1950	1073
645	1953	1070
646	1955	1066
647	1957	1063
648	1960	1060
649	1962	1056
650	1965	1053
651	1968	1050
652	1970	1047
653	1973	1043
654	1975	1040
655	1978	1037
656	1980	1034
657	1982	1030
658	1985	1027
659	1987	1023
660	1990	1020
661	1993	1017
662	1995	1014
663	1998	1011
664	2000	1007
665	2003	1004
666	2005	1001
667	2008	998
668	2011	995
669	2013	991
670	2016	988
671	2018	985
672	2020	981
673	2024	979
674	2027	976
675	2029	972
676	2032	969
677	2034	966
678	2037	963
679	2039	959
680	2042	956
681	2045	953
682	2047	950
683	2049	947
684	2052	944
685	2055	940
686	2058	937
687	2060	934
688	2062	931
689	2065	927
690	2068	924
691	2070	921
692	2073	918
693	2075	915
694	2078	911
695	2080	908
696	2083	905
697	2086	902
698	2088	899
699	2090	896
700	2093	892
701	2095	889
702	2098	886
703	2101	883
704	2103	880
705	2106	877
706	2108	873
707	2111	870
708	2115	868
709	2117	864
710	2119	861
711	2122	858
712	2124	855
713	2127	852
714	2129	848
715	2132	845
716	2134	842
717	2137	839
718	2139	836
719	2142	833
720	2145	830
721	2147	826
722	2150	823
723	2152	820
724	2155	817
725	2157	814
726	2160	811
727	2162	808
728	2165	804
729	2167	801
730	2170	798
731	2172	795
732	2175	792
733	2177	789
734	2180	786
735	2182	782
736	2185	779
737	2187	776
738	2190	773
739	2193	770
740	2195	767
741	2198	764
742	2200	761
743	2203	758
744	2206	755
745	2208	752
746	2211	748
747	2213	745
748	2216	742
749	2218	739
750	2221	736
751	2224	733
752	2226	730
753	2229	727
754	2232	724
755	2237	722
756	2239	718
757	2241	715
758	2244	712
759	2247	709
760	2250	706
761	2253	703
762	2255	700
763	2258	697
764	2260	694
765	2263	691
766	2266	688
767	2268	685
768	2271	682
769	2273	679
770	2276	676
771	2278	672
772	2281	669
773	2283	666
774	2286	663
775	2288	660
776	2291	657
777	2293	654
778	2297	651
779	2299	648
780	2302	645
781	2304	642
782	2307	639
783	2310	636
784	2313	633
785	2315	630
786	2318	627
787	2320	624
788	2322	621
789	2325	618
790	2328	615
791	2331	612
792	2333	609
793	2336	606
794	2339	603
795	2342	600
796	2345	597
797	2347	594
798	2350	591
799	2352	588
800	2354	585
801	2357	582
802	2360	579
803	2362	575
804	2365	572
805	2367	569
806	2369	566
807	2373	563
808	2375	560
809	2378	557
810	2380	554
811	2383	551
812	2385	548
813	2388	545
814	2391	542
815	2393	539
816	2396	536
817	2398	533
818	2400	530
819	2403	527
820	2406	524
821	2408	521
822	2411	518
823	2414	515
824	2416	512
825	2419	509
826	2421	506
827	2424	503
828	2427	500
829	2429	497
830	2432	494
831	2435	491
832	2437	488
833	2440	485
834	2443	482
835	2445	479
836	2448	476
837	2451	473
838	2453	470
839	2456	467
840	2458	464
841	2461	461
842	2464	458
843	2466	455
844	2469	452
845	2471	449
846	2474	446
847	2476	443
848	2479	440
849	2481	437
850	2484	434
851	2486	431
852	2489	428
853	2491	425
854	2494	423
855	2496	420
856	2499	417
857	2501	414
858	2504	411
859	2506	408
860	2509	405
861	2511	402
862	2514	399
863	2517	396
864	2519	393
865	2521	390
866	2524	387
867	2527	384
868	2529	381
869	2532	378
870	2534	375
871	2537	372
872	2540	369
873	2542	366
874	2545	363
875	2547	360
876	2550	357
877	2552	354
878	2555	351
879	2558	348
880	2561	345
881	2563	342
882	2566	340
883	2568	337
884	2571	334
885	2574	331
886	2576	328
887	2579	325
888	2581	322
889	2584	319
890	2587	316
891	2589	313
892	2591	310
893	2594	307
894	2596	304
895	2599	301
896	2602	298
897	2604	295
898	2607	292
899	2609	289
900	2612	287
901	2614	284
902	2617	281
903	2620	278
904	2623	275
905	2626	272
906	2628	269
907	2643	267
908	2645	264
909	2648	261
910	2651	259
911	2653	256
912	2655	253
913	2658	250
914	2660	247
915	2663	244
916	2665	241
917	2668	238
918	2671	235
919	2673	232
920	2676	229
921	2679	226
922	2681	223
923	2684	220
924	2686	217
925	2689	214
926	2691	211
927	2694	209
928	2697	206
929	2699	203
930	2702	200
931	2704	197
932	2707	194
933	2710	191
934	2712	188
935	2715	185
936	2717	182
937	2719	179
938	2722	176
939	2725	173
940	2727	171
941	2730	168
942	2732	165
943	2735	162
944	2737	159
945	2740	156
946	2743	153
947	2745	150
948	2747	147
949	2750	144
950	2753	141
951	2755	138
952	2758	136
953	2761	133
954	2763	130
955	2766	127
956	2768	124
957	2771	121
958	2774	118
959	2776	115
960	2778	112
961	2781	109
962	2784	106
963	2786	104
964	2789	101
965	2791	98
966	2794	95
967	2796	92
968	2799	89
969	2801	86
970	2804	83
971	2807	80
972	2809	77
973	2812	75
974	2814	72
975	2817	69
976	2820	66
977	2822	63
978	2825	60
979	2827	57
980	2830	54
981	2833	51
982	2836	49
983	2839	46
984	2842	43
985	2845	40
986	2848	37
987	2851	34
988	2854	31
989	2857	28
990	2861	25
991	2864	23
992	2866	20
993	2869	17
994	2872	14
995	2876	11
996	2879	8
997	2881	5
998	2884	2
999	2887	0
